web-scraper-order,web-scraper-start-url,linktopage-href,title,age,readytoleave,dec,num_pics,price,location
1588698196-16,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/3-beautiful-kittens-/1371634167,3 beautiful kittens,6 weeks,in 2 weeks,"One male kitten

Two female kittens

Ready to go home in 3 weeks time

Taking Deposit of £50",1 of 5,£150.00 ,"Slough, Berkshire"
1588698252-42,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/precious-little-tabby-kittens-for-sale-sold-/1370922395,Precious little tabby kittens for sale(SOLD),10 weeks,Now,"Beautiful fluffy, tabby kittens for sale. Which are 7 weeks old. They’re very playful and very healthy. They Have been litter trained , dewormed and deflead. They Ready to go to their loving homes on 21st of April. 
There mother is half bengal and half tabby
3x tabby with beautiful bengal markings 
We are taking £50 deposits. If needed , we will provide you with a starter kit and home delivery if you want to depending on postcode. 
We accept reasonable offers... 
If you need extra pictures or videos then contact us on Gumtree.

Update: all are sold sorry thank you",1 of 8,£250.00 ,"Walthamstow, London"
1588698345-85,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/british-blue-shorthair-kittens-/1372076418,British Blue shorthair kittens,2 weeks,in 7 weeks,"No time wasters!!!!! Unknown number will not be picked up!!!!!!!!

Our gorgeous pedigree British Blue short hair had her litter on the 18th april 2020
Dad is also a pedigree British blue active gccf registered.
The litter is 4 blue girls and one blue boy.
Ready to leave on mid/end of June 
Mum is on Royal Canin dry food and whiskas wet food. 

5 beautiful playful loving kittens great around children.
Want a loving forever home they will be:
Wormed and flead
Litter trained 
Vaccination and microchipping can be done on request ( extra cost) 

A non refundable holding fee of £200 is required to hold kitten as this reduces time wasters and takes the kitten of the ad.

FaceTime /viewing can be done following the social distance rule!!",1 of 9,£800.00 ,"Wallington, London"
1588698184-10,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/2-adorable-all-black-kittens/1371260988,2 Adorable All Black Kittens,8 weeks,Now,"Born on 9th March so will not be available until 4th May. Very calm and friendly kittens, not been able to sex them yet. Mother and Father are and will be present at viewing. They will be wormed, flea treated and litter (and garden) trained. Any questions please mail me. NO RE-SELLERS. I will know if you are. Genuine cat lovers only.",1 of 1,£100.00 ,"Hoddesdon, Hertfordshire"
1588698302-65,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/1-adorable-kitten-girl-colourpoint-white-ginger/1371833131,1 Adorable Kitten Girl Colourpoint White-Ginger,6 weeks,in 6 weeks,"Exotix Shorthair Girl was born on 23th of April(colourpoint red-girl)Mum is stunning,loving cat to seen along with kittens. She has international pedigree but not register in UK. Dad is a beautiful red cat.
Kitten is accustomed to the litter tray and eating independently.
They are familiar with children,dogs and regular visitors and used to being handled-friendly and confident.
Used to all household noises.
The kittens will have flea and worm treatment, be vaccinated and microchipped. 
We are looking for a good and loving home for our beautiful kittens.
Please don’t hesitate to ask more about them, we are happy to answer all questions. Please text or call after 6pm.",1 of 5,"£1,000.00 ","Streatham Common, London"
1588698318-73,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/all-reserved-now-5-beautiful-kittens-/1371977837,ALL RESERVED NOW- 5 BEAUTIFUL KITTENS,3 weeks,in 5 weeks,"ALL KITTENS ARE NOW RESERVED. 
I have 5 beautiful healthy and happy kittens looking for their forever families. These kittens are from our family cat and I want her babies to go to loving homes. They are only 3 weeks old and will be ready for to leave the weekend 29th May. 
All kittens will be treated for worms and fleas before leaving our home. 

Tabby and White - Male (RESERVED) 
Tabby and White - Female (RESERVED)
Black with white paws - Male (RESERVED) 
Black and White (black beauty spot) - Female (RESERVED) 
Black and White (mainly white face) - male (RESERVED) 

£100 deposit to secure your kitten. 
Due to social distancing you won’t be able to come and view the kittens but I will provide a weekly update with pics so you can watch your kitten grow before they come to live with you. 
Local delivery could be arrange for small charge.",1 of 9,£250.00 ,"Hampton, London"
1588698298-63,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kitten-all-sold/1371805107,Kitten all sold,7 weeks,in 1 week,"2 tabby kitten £250each ,3 black kittens1 black boy 2 black girls kittens £90 each,1mother cat £100 all ready to leave in 5 days litter trained an eating wet an dry. All kittens are sold",null,"£1,000.00 ","Barking, London"
1588698246-39,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kitten/1370749195,Kitten,5 weeks,in 4 weeks,"5 beautiful kittens born the 14/03/20 picture of the little cuties feel free to message me for more information 
100 each",1 of 7,£100.00 ,"Bromley, London"
1588698366-95,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/beautiful-kitten-looking-for-home/1372149184,Beautiful kitten looking for home,8 weeks,Now,"This gorgeous boy is the last of the litter, he is very gentle and affectionate. However has his crazy playful moments :) he is amazing with children

Father is beautiful British Shorthair!

He is litter trained, de flead, de wormed.

Also loves food!

Waiting for loving parents",1 of 6,£360.00 ,"Westminster, London"
1588698238-35,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-ready-to-go./1372200225,Kittens ready to go.,9 weeks,in 1 week,"3 beautiful 9 weeks old. 3 boys kittens and 1 girl ready for their new loving homes. They are fully litter trained, worm and flea treated and eating wet and dry food.",1 of 11,£220.00 ,"Bishops Stortford, Hertfordshire"
1588698285-57,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/beautiful-kittens-6-weeks-old.-reserved-/1371665959,Beautiful kittens 6 weeks old. *RESERVED*,7 weeks,in 1 week,"We have five beautiful kittens 6 weeks old from a calico mother, they are beautiful colours and markings including a stunning fluffy ginger! All are litter trained and on solid food and ready to leave in just under two weeks kittens can be held for a deposit via bank transfer

Ginger female -£350
Tortoise shell female-£200
Tortoise shell female -£200
Grey and white male -£200
Tortoise shell with white paws female -£200",1 of 6,£200.00 ,"Angel, London"
1588698368-96,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kitten-/1372151534,Kitten,8 weeks,Now,"Hi I have 1 girl kitten she is tabby 8 weeks old 
Mum is puré bengal 
deflead and dewormed ready for new home",1 of 3,£450.00 ,"Manor House, London"
1588698200-18,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-kittens-/1371715290,Beautiful kittens,10 weeks,Now,We have beautiful kittens available 2 boys 1 ginger and cream £500 and 1 full black £400 1 girl £450 mum and dad are family pets mum is a British shorthair and dad is a mainecoon cross all kittens are up to date with worming and flea treatment they are litter trained and ready for there new loving homes please call for more information,1 of 7,£350.00 ,"Epsom, Surrey"
1588698174-6,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-mainecoon-cross-kittens-/1370846404,Beautiful mainecoon cross kittens,10 weeks,Now,Hi I have 5 beautiful mainecoon cross kittens for sale they are eating and drinking well wormed up to date litter trained and ready to go to their new homes please call for any more information( full blue girl is £550 Now sold) silver and black boy £450( sold) tabby girl £500(available)black & white boy £350 full black boy (£400)(available)full ginger boy £500 (available)ginger and white girl £500 (sold) mixed colour girl £450(available ) kittens can be seen with mum and dad we have girls and boys available thanks only good loving homes please,1 of 8,£350.00 ,"Epsom, Surrey"
1588698221-28,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens-tabby-and-black-sold-/1372137476,Kittens tabby and black (SOLD) !!,4 weeks,in 4 weeks,"1 tabby female SOLD

1 black female SOLD



Ready to leave for their forever home May 30th (8weeks).

Will be wormed and litter trained.",1 of 4,£150.00 ,"Dartford, Kent"
1588698304-66,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/beautiful-healthy-and-happy-kittens-for-sale-2-boys-1girl-/1371885841,Beautiful healthy and happy kittens for sale 2 boys 1girl,3 weeks,in 6 weeks,"We have 3 beautiful kittens born on the 5th of April 2020.

All kittens are happy and healthy eating well and growing very quickly, beginning to show their little personalities __

We are a non smoking household with children our kittens along with both parents are adorable friendly and not shy i am positive in saying all kittens will fit comfortably with any loving family and will leave us with their own kitten starter pack__



Male black tiger - £350

Male ginger - £350

Female ginger - £450



Deposits will secure your kitten

You will also receive weekly updates and photos to keep you updated on progress and growth.

Kittens will be given flea and worming treatments and will also be fully litter trained



Please feel free to contact me with and questions",1 of 4,£350.00 ,"Barnet, London"
1588698262-47,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-maine-coons-for-sale/1371201039,Kittens Maine Coons for sale,7 weeks,in 9 weeks,"Adorable Maine Coon kittens available to their forever home.
They will be:
fully vaccinated,
Microchipped
litter trained.
Wormed and
Both parents are registered in GCCF.
Mum are champion , Mum import from Latvia. Dad from Lithuania.
We have :
Black solid boy.
Red 3 boys 
Red girl.
Baby will be non active registered, because I prefer pets home for them .
Mum and dad can be seen anytime.
Kittens will be sociable 
For more details plz feel free to contact me
For reservations we are asking £ 500,- non refundable deposit.
Please please no time wasters and unexperienced breeders. (Back yard breeders)",1 of 8,"£1,100.00 ","Orpington, London"
1588698357-91,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens-half-russian-blue-and-persian-alla-reserved-/1372125181,Kittens Half Russian Blue and Persian( alla reserved),6 weeks,in 2 weeks,"Half Russian Blue and Persian They are 6 weeks 
old 
De fleas and de wormed 
Litter training 
Eating soft and dry food 
Ready to go new home on 20th of May
They are all female except from 
the 4th picture is a male and (reserved)MF
The 3rd picture is a female and (reserved)DE
The 2nd picture is a female and (reserved)to
LAura S
The 5th picture is a female and ( reserved)to
DP
They are All are fluffy and sweet . 



No holds first come 

If you’re interested let us know at the contact information provided.",1 of 9,£300.00 ,"Kingston, London"
1588698320-74,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/cute-mixed-kittens-ready-now-read-advert-/1371552947,Cute Mixed Kittens Ready Now (Read Advert),8 weeks,Now,"Beautiful Kittens are ready to leave now at 8 weeks old. Litter trained and dewormed. Eating wet food.

Tabby Female is £370

Tabby White Male is £370",1 of 4,£370.00 ,"Barking, London"
1588698289-59,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kittens.-british-shorthaired./1371739198,Kittens. British Shorthaired.,4 weeks,in 4 weeks,"Born 7/4/2020



1 Black with white socks girl - Reserved

1 Black with white socks boy - Reserved

3 white and black boys - All Reserved



Will be ready for their forever homes at the beginning of June.



Holding deposits of £50 each required.",1 of 5,£200.00 ,"South East London, London"
1588698258-45,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/kittens-for-sale-ready-to-leave-may-20th-/1371106896,Kittens for sale ready to leave May 20th,6 weeks,in 2 weeks,"1 male black and white 
healthy mother can be seen . 
Happy little kitties, used to children and dogs and ready to go to a loving, home where they can be looked after , vaccinated and treated with gentle kindness.",1 of 1,£200.00 ,"North London, London"
1588698314-71,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/1-beautiful-maine-coon-x-british-shorthair-kittens-for-sale-/1371913365,1 Beautiful Maine Coon X British Shorthair Kittens for sale!,2 weeks,in 7 weeks,"**1 Grey Kitten has already been reserved with deposit***
***1 black kitten has already been reserved with deposit***
- The kittens were born on the 22nd of April 2020. 
- There is ONE GREY KITTEN LEFT.
- MALE
- mother is a full Maine coon, in picture.
- father is a full British Shorthair.
- Grey kitten is £650.
Before they are sold they will be litter trained, wormed, flead and will have their first vaccines. Will also come with their toys. 
I will be taking deposits for reservations. Can also be viewed whilst respecting the social distancing guidelines. Can also be FaceTimed on request often to see them grow and develop! 
**Not yet ready!",1 of 6,£650.00 ,"Enfield, London"
1588698316-72,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/2-black-kittens-ready-to-find-their-new-family-sold/1371970188,2 black kittens ready to find their new family SOLD,7 weeks,in 1 week,"2 adorable kittens are ready to find their new home.
They're really playful and friendly. All of them are litter trained.
They born on the 14th of March.
If you want to see more pictures text me.
BOTH OF THE KITTENS ARE SOLD.",1 of 5,£200.00 ,"Kilburn, London"
1588698240-36,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/british-blue-short-hair-kittens/1370249376,British Blue Short Hair Kittens,7 weeks,in 4 weeks,"!!Update!!
Thank you for your kind interest!! All the kittens have found their life long home __ 
1 blue boy (reserved for Lucy&Adrian)
2 blue girls (reserved)
1 blue boys (reserved for Hayley)
1 blue boy (reserved for Jamime)

Stunning long awaited kittens now ready for reserve!!
Both parents are my own pets who are champion sired
Ready to leave on the 18th May
Will be Fully vaccinated already vet checked
Precautionary flea treated with strong hold
Wormed with panacur 10%
Will be Insured and microchipped 

FaceTime can be done for viewing at the moment.

Please contact me for more details",1 of 9,£850.00 ,"Enfield, London"
1588698207-21,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-maine-coon-mix-kittens-/1371982455,Beautiful Maine Coon mix kittens,9 weeks,in 1 week,"If you looking for a really beautiful kitten I got this beauties availiable for adoption. They are very calm, friendly and healthy. Photos of the parents and kittens availible on request

DOB: 26.02.20",1 of 5,£750.00 ,"Marlow, Buckinghamshire"
1588698267-49,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/adorable-persian-kittens-/1371331444,ADORABLE PERSIAN KITTENS,10 weeks,Now,"Kittens ready to be rehoused. Kittens eat dry food also wet jelly/gravy food. The kittens have been litter trained. They are lovey kittens are playfull. 

BLACK AND WHITE > FEMALE",1 of 7,£200.00 ,"Hackney, London"
1588698312-70,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/very-fluffy-kitten/1371910376,Very fluffy kitten,10 weeks,Now,"Sold,

Adorable almost 10 weeks old male very fluffy kitten.

Litter trained, fleas free, very sociable, and playful.

You can pick up on Saturday 2nd May",1 of 6,£480.00 ,"Greenford, London"
1588698337-81,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/british-shorthair-kittens/1372049954,British Shorthair kittens,8 weeks,in 4 weeks,"I have five beautiful British ShortHair Kittens for sale which will be ready to collect on or around the 3rd of June. 
4 boys and 1 ginger girl.
 200.00 deposit secures kitten 

All kittens have been wormed flead, vet checked,they will also be coming to you fully vaccinated both injections , microchipped .first injections 11/5/2020
Parents are both pedigree with certification ,both have grand champion bloodlines. Kittens sold as pets ,indoor cats.
Parents are both pkd and fiv clear,
parent's and kittens live in home environment,used to sounds like hovers ,will still run lol.., washing machine ,kids and every day noices such as doors banging and things kittens are all good with ,
Kittens are all litter trained and scratching on posts and things ,kittens have been eatting quality dry kitten food from 5 weeks old ,
My daughter's cat had one still born kitten ,as cat was upset I brought her to help feed my kittens and save her stress ,so kittens have all had milk on tap as both cats feed kittens 

1st kitten golden blond boy ,very loving good natured loves a stroke and sitting on your lap SOLD

2nd kitten lilac and white boy, he is a lovely very chunky kitten ,loves attention being stroked , handsome boy 

3rd kitten red and white boy ,He is a lovely kitten ,always up to something loves fighting with his mum and other kittens ,was the first one to come for strokes and play ,doesn't ever get his nails out when playing with kids nice looking boy 

4th kitten black chocolate with lilac hairs on him ,my favourite he is a little ancle scratcher always wanting picked up ,and stroked he always loves his belly being stroked ,such a lovely natured kitten 

5th kitten beautiful stunning ginger girl ,she is just so calm dose her own thing quite a lot ,she seems to like sleeping by your feet ,she dose like to sleep in a box or in their cat tree always purring

Any questions just ask",1 of 8,£600.00 ,"Forest Hill, London"
1588698186-11,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens/1371307375,Kittens,5 weeks,in 4 weeks,"ALL HAVE FOREVER HOMES NOW Born 31/3/2020 3 kittens left in need of a loving forever home

Twin black kittens

One black and white with cute patch on nose

I sure if boys or girls

Ready to go beginning of June",1 of 3,£200.00 ,"Watford, Hertfordshire"
1588698360-92,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/beautiful-kitten-for-sale-in-london-%C2%A3230-each-/1372128802,Beautiful kitten for sale in London £230 each,8 weeks,Now,"Hi I have 3 kitten girls for sale all is very active and playful with full energy. Eating jelly food or dry food.and drink normal milk if you are interested please call on my number 
07472753653",1 of 4,£230.00 ,"Hounslow, London"
1588698353-89,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/1-beautiful-kitten/1372108894,1 beautiful kitten,8 weeks,Now,1 boy ready to go to his forever families on Saturday 9th May. Eating wet and dry food. Litter trained.Used to children and noise.Very playful and love cuddles,1 of 8,£300.00 ,"Mitcham, London"
1588698355-90,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens-x-1left-ready-to-leave-on-1-june-2020-/1372119199,Kittens x 1left (ready to leave on 1 June 2020),3 months,in 4 weeks,"I have 1 playful and very adorable tabby kittens, looking for a loving home.

The available kittens is white with black patches. 

Ready to go to their loving home from (01/06/2020)

Should be eating and drinking by the time they are ready to leave. Flea and worm treatment will be applied.

I can send more pics or videos on request on request.

Pic of mum is in the last 2 pics posted

delivery for a small fee if your local or collection.

£400

To secure your kitten, I am asking £50 deposit to be paid by bank trans/cash",1 of 8,£400.00 ,"Bromley, London"
1588698364-94,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/beautiful-tabby-kittens-/1372142265,Beautiful Tabby Kittens,7 weeks,in 1 week,"They were born on 17th March, they will be ready to leave Mum 12th May.

They are very active playful kittens. They are deflead and dewormed and litter trained and eating solids.

2 boys.",1 of 9,£200.00 ,"South East London, London"
1588698326-77,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/british-shorthair-kittens/1372016878,British Shorthair Kittens,4 weeks,in 9 weeks,"Beautiful British Shorthair Kittens Lilac Point

Two Girls

One Boy

Deposit of 100.00 non refundable",1 of 3,£595.00 ,"Orpington, London"
1588698374-99,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/kittens-ready-to-leave-now-/1372086491,Kittens ready to leave now,8 weeks,Now,"Kittens ready to leave now boys and girls

They are litter trained

Eating wet food drinking by them self’s

Fully weaned

Have been treated for fleas and worms

Will need vaccination doing but unfortunately our vets are only doing emergency due to virus

They are good with other animals

They have been raised around children and handle every day since birth

Each kitten has different personalities but are all very active playful kittens and very loving

Gingers £400

Tabby £400

Black and white £350",1 of 9,£400.00 ,"Wimbledon, London"
1588698225-30,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/kittens-for-sale-/1372165265,Kittens for sale,8 weeks,Now,"6 part norwegian forest kittens

Long haired

Grey and black striped with ginger on gave x 3

White and grey x 3

Litter trained and feeding



2 males



4 females",1 of 7,£300.00 ,"Croxley Green, Hertfordshire"
1588698254-43,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/5-kittens-/1371042826,5 kittens,5 weeks,in 4 weeks,"4 week old kittens for sale will be ready in a month or so, flea and worm treatment will be done in the next couple of weeks would like them to go to loving homes where they will be looked after. Please remember a cat is for life not just for covid 

__",1 of 7,£400.00 ,"Holloway, London"
1588698192-14,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/gorgeous-litter-of-kittens-/1371534952,Gorgeous litter of kittens,4 weeks,in 4 weeks,"***ONLY ONE KITTEN LEFT***

Only the darker coloured brown fluffy tabby is available, he’s a little boy!



A litter of 6 beautiful kittens.



Kittens are being raised in a family home with children and other cats so with be well socialised on leaving.



Kittens will not be able to leave Mum until they are 8 weeks old and fully weaned/litter trained.



All kittens will be wormed and defleaed.



due to social distancing I will not be offering home viewings at this time but will happily accept a deposit of £50 to hold your chosen kitten.",1 of 9,£250.00 ,"Slough, Berkshire"
1588698322-75,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/kittens-kittens-/1372005711,Kittens kittens,8 weeks,Now,"I have got 4 kittens for sale

2 boys 2 girls

Dewormed, defleated, litter trained



NO OFFERS - Serious people only



Can deliver if not too far",1 of 4,£350.00 ,"Kingston, London"
1588698343-84,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/black-kittens/1372076750,Black Kittens,8 weeks,Now,"deflead

dewormed

1 girl

fluffy black kitten

beautiful eyes

soft fur

pure black

£300 for the kitten

dog friendly



Please call me on 07496062962",1 of 5,£300.00 ,"Kilburn, London"
1588698203-19,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-russian-blue-pedigree-kittens/1371814809,Beautiful Russian blue pedigree kittens,8 weeks,in 2 weeks,"Lovely friendly kittens, deflead and wormed, eating well, ready 14 th May.Deposits taken now,with social distance viewings,seen near Gatwick with their beautiful mum.They will come with 5 generation pedigree, blanket, food, toys and 4 weeks insurance.",1 of 3,£850.00 ,"Horley, Surrey"
1588698164-2,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=5,https://www.gumtree.com/p/cats/2-female-bengal-kittens-and-2-ghost-tabbies/1367708053,2 female bengal kittens and 2 ghost tabbies,10 weeks,Now,these kittens will be ready to take in 8 weeks they are bengal and ghost tabbies. they will be litter trained and would have been flea’d and wormed.,1 of 11,£160.00 ,"Tilehurst, Berkshire"
1588698378-101,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/beautiful-kittens-/1372191854,Beautiful Kittens,8 weeks,Now,"White Grey Brown and black , 3 kittens ready all ready for new home",1 of 6,£225.00 ,"Croydon, London"
1588698244-38,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/lovely-kitten-boy-sold-/1370557791,Lovely kitten boy (SOLD!!!),7 weeks,in 1 week,Hi up to for sale boy (see photos) ready to go for four weeks.He will be treated for fleas and worms. Viewings welcome .Deposit:50£,1 of 5,£170.00 ,"South East London, London"
1588698234-33,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/british-short-hairx-kittens/1372179684,british short hairX kittens,8 weeks,Now,"british short hair cross kittens 8 weeks old ready to go new homes eating and drinking , litter trained, dewormed and deflead, not vaccinated, mum can be seen , i dont have dad,no time waster plzzz
tabby £400
black £350
not holding",1 of 9,£350.00 ,"Chigwell, Essex"
1588698362-93,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=1,https://www.gumtree.com/p/cats/persian-kitten-/1372125377,Persian kitten,12 months,Now,"My lovely female kitten just turned 1 years old in need of a loving new forever home/homes. 
Unfortunately I’m needing to find my gorgeous,sweet and very loving little girl a new home I have had her since she was 6 weeks old , she is de flead and wormed regularly. She’s been seen by the vet a few times for check ups throughout the year always in perfect health. I would like her to go to a loving home
She’s very clean , litter trained. 
She is an indoor she comes with her beautiful crushed velvet bed her litter box/tray few packs of litter sand and many more item",1 of 9,£550.00 ,"Wembley, London"
1588698306-67,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=2,https://www.gumtree.com/p/cats/beautiful-kittens-for-sale-/1371891478,Beautiful Kittens for sale,10 weeks,Now,"We have 4 beautiful kittens for Sale. This is our Lily's final litter and last 2 she had we were inundated with requests. Lily herself is half Norwegian forest with tabby mix. Is fluffy white and black with amazing green eyes. All her babies have been really beautiful, playful and have made really happy homes!

There's 4 mischievous, energetic and playful kitties who have reached the right age of 10 weeks, they have been fully weaned on wet & dry food. are all litter trained and have been given flea & worm treatment.

They are slightly different pries pls read carefully.
Firstly we have Lolitta who is a very pretty girl, looks identical to her mother. Beautifil white & black with hazel/green eyes. Very playful and energetic & good sweet natured. £300

We then have 2 almost twins but 1 boy(Sooty) & girl( Pearl). Both very sweet natured and playful, heaps of energy and really would like if these 2 could goto a new home together! Both black but Pearl has a really enduring character with a slight curl in her tale, and few flickers of white on her tummy! Really lovely. £250. Would reduce if these 2 could go together!
 Our last little surprise is Tiggie she's exceptionally beautiful almost Bengal cross tabby with Norwegian Forest. Very highly intelligent and boundless energy. Has amazing markings and lovely hazel eyes. £350.

All the kitties are exceptional beautiful and are good with people and other cats. Would make ideal company and at the right age where they are at most playful and exciting. Would definitely brighten up yr lives!

If interested; pls put yr requests and reservations in asap as won't as won't be around for long! Will give better price if take any of the 2 kitties together. They're all best buddies and would prefer to keep them going together. But they're also quite independent being able to play and amuse themselves and come and make themselves content.

Look forward to hearing from you!
If you want any other pics pls get in touch!",1 of 8,£250.00 ,"Heathrow, London"
1588698194-15,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=4,https://www.gumtree.com/p/cats/beautiful-kittens-for-sale-black-and-white-males-and-females/1371546290,Beautiful Kittens for sale black and white males and females,2 weeks,in 6 weeks,"Beautiful Kittens for sale black and white males and females

Kittens were just born

Pictures will follow soon",1 of 1,£100.00 ,"Luton, Bedfordshire"
1588698168-4,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=5,https://www.gumtree.com/p/cats/gorgeous-kittens-fs-bengal-x-shorthair-rare-babies/1372175849,Gorgeous Kittens FS! Bengal X shorthair rare babies,9 weeks,in 1 week,"3 beautiful rare mark kittens, Bengal x shorthair fs to loving, family homes!!

Stunning detail. Wonderfully playful and adventurous kittens. Ready to have their forever homes in just 2 weeks time! Preferred to have a garden. Weaned and litter trained. Will be due worming when rehomed, has had flea treatment. 
Mum and dad (featured in photo together. Mum- a lovely Bengal coat mixed colours. Dad, a gorgeous shorthair tab, amazing features and is a larger sized Male. 

3 kittens available- 

Kitten 1//MALE: 
White&Grey. Playful and energetic. Great with children and is very advanced! Extremely affectionate. Gorgeous pattern around the face. Green eyes. 
Kitten 2//FEMALE:
Black / Brown marked girl with gorgeous markings. Loving and friendly, very excitable. Bengal marks show through on sides and belly. Tab marks on head. Rare beautiful kitten. Olive green eyes. 
Kitten 3//FEMALE:
Rare beautiful markings across whole body. Bengal marking with a tab/turtle shell pattern. Really beautiful cat, loving and cuddly. Amazing with children and very playful. Rounded ears and eyes, hazel eyes. White lining around the eyes and spotted tummy. 

NO time wasters please. Only serious buyers. 
We hope for loving homes for our cats first and final litter. They are amazingly cared for and look forward to seeing them go to a family who will continue to care for them wonderfully. Thank you very much in advance",1 of 9,£350.00 ,"Morden, London"
1588698269-50,https://www.gumtree.com/search?search_category=cats&search_location=london&q=kitten&page=3,https://www.gumtree.com/p/cats/three-beautiful-kittens-sold-/1371444491,Three beautiful kittens SOLD!!!,7 weeks,in 1 week,Three playful Kittens looking for new homes.All three Kittens are litter trained and are able to feed on cat food too. These kittens are very active and love to play.Ready to buy now.,1 of 13,£100.00 ,"Croydon, London"
